date	БАС	деменция	менингит	муковисцидоз	полиомиелит	сибирская язва	холера	Эбола
2010-01	6	31	21	24	16	3	11	0
2010-02	6	43	36	22	22	0	13	0
2010-03	4	43	31	19	21	1	14	0
2010-04	8	64	53	19	37	0	13	0
2010-05	7	64	250	14	1739	2	8	0
2010-06	3	67	2638	12	406	2	69	0
2010-07	2	82	1788	9	57	5	35	0
2010-08	4	102	1348	17	32	59	36	0
2010-09	6	74	699	11	23	6	13	0
2010-10	10	77	602	12	68	3	49	1
2010-11	8	74	487	14	45	0	127	0
2010-12	14	66	467	10	25	2	48	0
2011-01	26	74	518	25	28	2	38	0
2011-02	21	89	488	72	30	3	33	0
2011-03	26	87	397	28	37	0	30	0
2011-04	20	70	276	38	36	9	37	0
2011-05	17	64	217	41	24	4	90	0
2011-06	13	89	202	70	20	3	413	0
2011-07	11	86	232	121	23	8	141	0
2011-08	11	85	195	140	29	5	33	0
2011-09	15	85	128	67	28	4	26	0
2011-10	11	75	139	64	35	10	32	0
2011-11	16	75	139	88	35	5	28	0
2011-12	8	69	113	74	23	4	21	0
2012-01	9	47	127	57	30	3	23	0
2012-02	14	24	118	68	25	0	19	0
2012-03	12	28	109	75	12	0	10	0
2012-04	7	28	107	85	17	3	9	0
2012-05	9	24	100	91	15	3	8	0
2012-06	7	31	92	99	17	3	8	0
2012-07	15	24	145	151	17	3	18	0
2012-08	15	39	195	117	12	876	9	0
2012-09	14	61	109	102	12	10	9	0
2012-10	10	63	121	1877	20	4	11	0
2012-11	17	56	100	66	18	3	11	0
2012-12	9	112	121	46	16	3	9	0
2013-01	10	1085	115	34	18	3	10	0
2013-02	9	318	108	46	24	2	14	0
2013-03	12	311	97	68	26	3	17	0
2013-04	12	154	89	111	31	2	10	0
2013-05	22	132	89	100	27	5	8	0
2013-06	14	133	1574	127	33	3	6	0
2013-07	22	151	598	126	28	0	6	0
2013-08	18	168	129	133	36	16	4	0
2013-09	18	119	75	101	39	2	7	0
2013-10	13	115	64	80	34	3	13	0
2013-11	14	139	59	225	35	2	10	0
2013-12	16	126	65	100	36	0	8	0
2014-01	19	116	66	93	46	2	10	1
2014-02	13	105	48	84	40	3	13	0
2014-03	11	117	52	98	38	2	11	3
2014-04	11	115	47	88	46	2	13	0
2014-05	16	121	50	80	43	2	8	0
2014-06	13	167	66	96	30	5	9	0
2014-07	8	165	67	41	28	4	15	467
2014-08	20	100	65	31	33	10	11	3345
2014-09	17	111	63	54	47	5	7	368
2014-10	13	108	55	53	30	5	12	2370
2014-11	635	129	46	64	34	4	14	410
2014-12	14	128	50	54	36	0	10	90