date	4D (Дети шпионов 4D)	ЗГ (Ёлки)	Интерны	Интерстеллар	Обливион	Санктум	Я есть Грут (Стражи Галактики)
2010-01	75	0	0	0	0	0	0
2010-02	46	0	0	0	0	0	0
2010-03	57	0	532	0	0	0	0
2010-04	34	0	456	0	0	0	0
2010-05	35	0	126	0	0	0	0
2010-06	39	0	101	0	0	0	0
2010-07	87	0	109	0	0	0	0
2010-08	117	0	74	0	0	0	0
2010-09	84	0	54	0	0	0	0
2010-10	93	0	44	0	0	0	0
2010-11	125	0	31	0	0	0	0
2010-12	98	0	22	0	0	0	0
2011-01	142	0	16	0	0	59	0
2011-02	93	0	37	0	0	1801	0
2011-03	57	0	30	0	0	562	0
2011-04	35	0	18	0	0	178	0
2011-05	41	0	8	0	1	47	0
2011-06	63	0	16	0	0	41	0
2011-07	124	0	17	0	0	63	0
2011-08	2573	0	22	0	0	39	0
2011-09	308	0	19	0	0	16	0
2011-10	19	338	17	0	0	21	0
2011-11	25	201	14	0	0	24	0
2011-12	23	213	10	0	2	18	0
2012-01	29	79	12	0	3	27	0
2012-02	15	19	10	0	0	24	0
2012-03	14	8	10	0	0	14	0
2012-04	11	5	10	0	2	10	0
2012-05	8	4	9	0	0	44	0
2012-06	16	4	15	0	0	12	0
2012-07	15	5	7	0	2	12	0
2012-08	8	5	10	0	0	11	0
2012-09	4	2	6	0	1	6	0
2012-10	3	0	12	0	0	8	0
2012-11	4	3	9	0	0	7	0
2012-12	3	3	9	0	3	6	0
2013-01	9	9	4	0	5	7	0
2013-02	3	2	6	0	7	56	0
2013-03	6	2	5	0	27	8	0
2013-04	2	0	4	0	309	4	0
2013-05	5	0	7	0	44	4	0
2013-06	2	0	5	0	19	5	0
2013-07	6	0	5	0	96	4	0
2013-08	3	0	8	0	99	2	0
2013-09	2	0	10	0	26	3	0
2013-10	0	0	2	0	12	0	0
2013-11	0	0	2	0	11	10	0
2013-12	0	4	0	0	9	2	0
2014-01	5	3	4	0	10	5	0
2014-02	4	0	5	0	8	3	0
2014-03	4	0	3	0	6	4	0
2014-04	0	0	3	0	3	2	0
2014-05	4	0	3	2	5	2	0
2014-06	0	0	5	0	5	0	0
2014-07	3	0	0	0	5	2	0
2014-08	5	0	0	2	7	2	281
2014-09	0	0	2	0	3	1	39
2014-10	0	0	3	3	0	0	13
2014-11	2	0	2	221	2	2	6
2014-12	0	0	0	32	0	0	5